YEAR,SESSION,first_visit,last_visit,advisory_rows,advisory_students
2019,OTONO,2019-07-10 07:05:14,2019-12-11 16:22:01,2221,844
2019,PRIMAVERA,2019-01-10 07:16:22,2019-06-11 17:06:23,643,380
2020,OTONO,2020-07-02 09:00:53,2020-12-11 19:31:17,1340,593
2020,PRIMAVERA,2020-01-09 07:03:46,2020-06-11 17:05:34,880,477
2021,OTONO,2021-07-04 18:55:59,2021-12-11 20:14:11,957,374
2021,PRIMAVERA,2021-01-03 09:08:32,2021-06-10 20:24:22,765,354
2022,OTONO,2022-07-03 10:00:07,2022-12-10 15:53:03,1720,588
2022,PRIMAVERA,2022-01-02 09:42:48,2022-06-10 19:00:46,754,409
2023,OTONO,2023-07-02 08:58:24,2023-12-10 19:11:30,1734,606
2023,PRIMAVERA,2023-01-02 09:05:19,2023-06-11 18:58:16,1359,505
2024,PRIMAVERA,2024-01-12 12:19:47,2024-05-03 10:53:52,1127,388
