CLAVECARRERA,visit_group,n,career_n,within_career_proportion
LAD,0,445,562,0.791814946619217
LAR,0,402,445,0.903370786516854
LAT,0,256,368,0.6956521739130435
LBC,0,90,118,0.7627118644067796
LBI,0,124,152,0.8157894736842105
LBM,0,157,199,0.7889447236180904
LBN,0,236,281,0.8398576512455516
LCN,0,130,160,0.8125
LCS,0,65,86,0.7558139534883721
LDS,0,64,87,0.735632183908046
LEC,0,146,174,0.8390804597701149
LFA,0,104,138,0.7536231884057971
LFB,0,100,131,0.7633587786259542
LFP,0,275,343,0.8017492711370262
LHR,0,151,178,0.848314606741573
LIC,0,190,222,0.8558558558558559
LII,0,292,361,0.8088642659279779
LIM,0,176,201,0.8756218905472637
LIN,0,51,64,0.796875
LIS,0,227,271,0.8376383763837638
LIY,0,29,34,0.8529411764705882
LMK,0,280,350,0.8
LMT,0,274,320,0.85625
LNA,0,41,53,0.7735849056603774
LNI,0,441,550,0.8018181818181818
LNM,0,206,249,0.8273092369477911
LPM,0,23,30,0.7666666666666667
LQI,0,117,151,0.7748344370860927
LRT,0,80,96,0.8333333333333334
LAD,1-2,81,562,0.14412811387900357
LAR,1-2,26,445,0.058426966292134834
LAT,1-2,66,368,0.1793478260869565
LBC,1-2,16,118,0.13559322033898305
LBI,1-2,20,152,0.13157894736842105
LBM,1-2,29,199,0.1457286432160804
LBN,1-2,22,281,0.07829181494661921
LCN,1-2,22,160,0.1375
LCS,1-2,14,86,0.16279069767441862
LDS,1-2,9,87,0.10344827586206896
LEC,1-2,17,174,0.09770114942528736
LFA,1-2,20,138,0.14492753623188406
LFB,1-2,18,131,0.13740458015267176
LFP,1-2,44,343,0.1282798833819242
LHR,1-2,14,178,0.07865168539325842
LIC,1-2,18,222,0.08108108108108109
LII,1-2,44,361,0.12188365650969529
LIM,1-2,14,201,0.06965174129353234
LIN,1-2,9,64,0.140625
LIS,1-2,28,271,0.1033210332103321
LIY,1-2,5,34,0.14705882352941177
LMK,1-2,44,350,0.12571428571428572
LMT,1-2,28,320,0.0875
LNA,1-2,9,53,0.16981132075471697
LNI,1-2,66,550,0.12
LNM,1-2,28,249,0.11244979919678715
LPM,1-2,3,30,0.1
LQI,1-2,19,151,0.12582781456953643
LRT,1-2,6,96,0.0625
LAD,3,9,562,0.01601423487544484
LAR,3,9,445,0.020224719101123594
LAT,3,16,368,0.043478260869565216
LBC,3,5,118,0.0423728813559322
LBI,3,3,152,0.019736842105263157
LBM,3,6,199,0.03015075376884422
LBN,3,5,281,0.017793594306049824
LCN,3,4,160,0.025
LCS,3,4,86,0.046511627906976744
LDS,3,4,87,0.04597701149425287
LEC,3,6,174,0.034482758620689655
LFA,3,5,138,0.036231884057971016
LFB,3,3,131,0.022900763358778626
LFP,3,9,343,0.026239067055393587
LHR,3,5,178,0.028089887640449437
LIC,3,7,222,0.03153153153153153
LII,3,6,361,0.01662049861495845
LIM,3,5,201,0.024875621890547265
LIN,3,4,64,0.0625
LIS,3,6,271,0.02214022140221402
LIY,3,0,34,0.0
LMK,3,7,350,0.02
LMT,3,8,320,0.025
LNA,3,1,53,0.018867924528301886
LNI,3,14,550,0.025454545454545455
LNM,3,6,249,0.024096385542168676
LPM,3,2,30,0.06666666666666667
LQI,3,5,151,0.033112582781456956
LRT,3,4,96,0.041666666666666664
LAD,4+,27,562,0.04804270462633452
LAR,4+,8,445,0.017977528089887642
LAT,4+,30,368,0.08152173913043478
LBC,4+,7,118,0.059322033898305086
LBI,4+,5,152,0.03289473684210526
LBM,4+,7,199,0.035175879396984924
LBN,4+,18,281,0.06405693950177936
LCN,4+,4,160,0.025
LCS,4+,3,86,0.03488372093023256
LDS,4+,10,87,0.11494252873563218
LEC,4+,5,174,0.028735632183908046
LFA,4+,9,138,0.06521739130434782
LFB,4+,10,131,0.07633587786259542
LFP,4+,15,343,0.043731778425655975
LHR,4+,8,178,0.0449438202247191
LIC,4+,7,222,0.03153153153153153
LII,4+,19,361,0.05263157894736842
LIM,4+,6,201,0.029850746268656716
LIN,4+,0,64,0.0
LIS,4+,10,271,0.03690036900369004
LIY,4+,0,34,0.0
LMK,4+,19,350,0.054285714285714284
LMT,4+,10,320,0.03125
LNA,4+,2,53,0.03773584905660377
LNI,4+,29,550,0.05272727272727273
LNM,4+,9,249,0.03614457831325301
LPM,4+,2,30,0.06666666666666667
LQI,4+,10,151,0.06622516556291391
LRT,4+,6,96,0.0625
