population,YEAR,SESSION,n_calendar_days,dominant_period_days_21_42,dominant_period_power
All CMAT,2019,OTONO,155,22.142857142857146,1364.4420671278942
All CMAT,2020,OTONO,163,40.75,850.3281369038758
All CMAT,2021,OTONO,161,26.833333333333332,208.28585573360454
All CMAT,2021,PRIMAVERA,159,39.75,197.8662527641778
All CMAT,2022,OTONO,161,26.833333333333332,3780.5674300029145
All CMAT,2022,PRIMAVERA,160,32.0,828.014948654533
All CMAT,2023,OTONO,162,27.0,2756.1726946464287
All CMAT,2023,PRIMAVERA,161,26.833333333333332,354.6205309566292
All CMAT,2024,PRIMAVERA,113,37.666666666666664,714.7882516145798
First-MU cohort during MU term,2019,OTONO,155,25.833333333333332,218.33665200490887
First-MU cohort during MU term,2020,OTONO,156,31.200000000000003,115.58633621603117
First-MU cohort during MU term,2021,OTONO,156,31.200000000000003,34.64322084100557
First-MU cohort during MU term,2022,OTONO,155,25.833333333333332,947.0575770179939
First-MU cohort during MU term,2023,OTONO,155,25.833333333333332,536.6182310855361
