population,model,group1,group2,adjusted_mean_difference_group1_minus_group2,cluster_robust_se,ci95_low,ci95_high,p_raw,p_holm_10_pairwise,reject_holm_0_05,n,n_classrooms
All first-MU attempts with CMAT coverage,classroom_FE_plus_official_career,0,1,-0.30472721430645106,0.04269913801049924,-0.38841598697793484,-0.22103844163496728,9.565882018721582e-13,7.652705614977265e-12,True,6627,190
All first-MU attempts with CMAT coverage,classroom_FE_plus_official_career,0,2,-0.3594779515045713,0.049780037484472496,-0.45704503212319125,-0.26191087088595133,5.148251459865466e-13,4.633426313878919e-12,True,6627,190
All first-MU attempts with CMAT coverage,classroom_FE_plus_official_career,0,3,-0.37318865422739833,0.0638873982741224,-0.4984056539106446,-0.24797165454415201,5.177948728359908e-09,3.6245641098519355e-08,True,6627,190
All first-MU attempts with CMAT coverage,classroom_FE_plus_official_career,0,4+,-0.460721886821644,0.05658660366118586,-0.5716295920050106,-0.3498141816382774,3.891556236653803e-16,3.891556236653803e-15,True,6627,190
All first-MU attempts with CMAT coverage,classroom_FE_plus_official_career,1,2,-0.054750737198120236,0.06336200546454251,-0.17893798589685367,0.06943651150061318,0.3875361815352868,1.0,False,6627,190
All first-MU attempts with CMAT coverage,classroom_FE_plus_official_career,1,3,-0.06846143992094728,0.07160502011178053,-0.20880470045230337,0.07188182061040882,0.33902256004883613,1.0,False,6627,190
All first-MU attempts with CMAT coverage,classroom_FE_plus_official_career,1,4+,-0.15599467251519294,0.06983128463959257,-0.2928614754029595,-0.019127869627426436,0.02549100530393955,0.1529460318236373,False,6627,190
All first-MU attempts with CMAT coverage,classroom_FE_plus_official_career,2,3,-0.01371070272282704,0.06706396228753105,-0.1451536534669403,0.11773224802128623,0.8380079704463568,1.0,False,6627,190
All first-MU attempts with CMAT coverage,classroom_FE_plus_official_career,2,4+,-0.10124393531707271,0.07155295053120567,-0.24148514134581195,0.03899727071166653,0.15708279603418884,0.7854139801709442,False,6627,190
All first-MU attempts with CMAT coverage,classroom_FE_plus_official_career,3,4+,-0.08753323259424567,0.072046630829236,-0.22874203422700135,0.05367556903851001,0.2243842171805126,0.8975368687220504,False,6627,190
