model,term,coef,cluster_se,p_value,ci95_low,ci95_high,n,calc_classrooms,covariance
prior_performance_plus_mu_use,"C(MU_VISIT_GROUP, Treatment(reference='0'))[T.1-2]",0.15395571278093212,0.037571408472270584,4.1730666110438165e-05,0.08031710532683872,0.22759432023502552,3241,145,cluster-robust by Calculus course classroom
prior_performance_plus_mu_use,"C(MU_VISIT_GROUP, Treatment(reference='0'))[T.3]",0.20729736388771286,0.05762991819181262,0.0003218537891148932,0.09434479979977045,0.32024992797565527,3241,145,cluster-robust by Calculus course classroom
prior_performance_plus_mu_use,"C(MU_VISIT_GROUP, Treatment(reference='0'))[T.4+]",0.19990798026665543,0.053928075477223565,0.00020978107175847587,0.09421089457573956,0.3056050659575713,3241,145,cluster-robust by Calculus course classroom
prior_performance_plus_mu_use,Z_MU,0.584948593216828,0.04343035983638125,2.3917882078459593e-41,0.4998266521019059,0.6700705343317501,3241,145,cluster-robust by Calculus course classroom
plus_calc_major_and_period,"C(MU_VISIT_GROUP, Treatment(reference='0'))[T.1-2]",0.12241002196040263,0.03654945669201879,0.0008105662336057812,0.05077440318953934,0.1940456407312659,3241,145,cluster-robust by Calculus course classroom
plus_calc_major_and_period,"C(MU_VISIT_GROUP, Treatment(reference='0'))[T.3]",0.1530112424851444,0.05906121696846409,0.009577459782136479,0.03725338434384885,0.26876910062643994,3241,145,cluster-robust by Calculus course classroom
plus_calc_major_and_period,"C(MU_VISIT_GROUP, Treatment(reference='0'))[T.4+]",0.17224947801789223,0.05195318377724049,0.0009148754879465493,0.07042310893231027,0.2740758471034742,3241,145,cluster-robust by Calculus course classroom
plus_calc_major_and_period,C(CALC_CAREER_MODEL)[T.LAT],0.41969569100764026,0.08085980730776962,2.09829595789999e-07,0.26121338088756313,0.5781780011277173,3241,145,cluster-robust by Calculus course classroom
plus_calc_major_and_period,C(CALC_CAREER_MODEL)[T.LBC],0.0682197912401084,0.09929584236845485,0.4920602149082042,-0.12639648361662947,0.2628360660968463,3241,145,cluster-robust by Calculus course classroom
plus_calc_major_and_period,C(CALC_CAREER_MODEL)[T.LBI],0.09799922040790898,0.08102403087666707,0.22646770692261164,-0.06080496199261978,0.2568034028084377,3241,145,cluster-robust by Calculus course classroom
plus_calc_major_and_period,C(CALC_CAREER_MODEL)[T.LBM],0.18843552490315102,0.08843260200005955,0.033102512842463426,0.015110809923869567,0.36176023988243244,3241,145,cluster-robust by Calculus course classroom
plus_calc_major_and_period,C(CALC_CAREER_MODEL)[T.LBN],0.03845883504288855,0.08217395370175823,0.6397721911746476,-0.12259915467981944,0.19951682476559654,3241,145,cluster-robust by Calculus course classroom
plus_calc_major_and_period,C(CALC_CAREER_MODEL)[T.LCS],0.161797066871924,0.08795444525648123,0.06583355048012032,-0.010590478110979018,0.334184611854827,3241,145,cluster-robust by Calculus course classroom
