course_period,OFFICIAL_CAREER,FORM_CAREER,n
CALC,LAD,ADMINISTRACION DE EMPRESAS,28
CALC,LAD,ACTUARIA,1
CALC,LAD,INGENIERIA CIVIL,1
CALC,LAD,INGENIERIA MECANICA,1
CALC,LAI,ACTUARIA,1
CALC,LAT,ACTUARIA,101
CALC,LAT,FISICA,2
CALC,LAT,CIENCIA DE DATOS,1
CALC,LAT,INGENIERIA EN SISTEMAS COMPUTACIONALES,1
CALC,LBC,BIOQUIMICA CLINICA,21
CALC,LBC,BIOLOGIA,1
CALC,LBC,INGENIERIA BIOMEDICA,1
CALC,LBI,BIOLOGIA,19
CALC,LBM,INGENIERIA BIOMEDICA,33
CALC,LBN,BANCA E INVERSIONES,38
CALC,LBN,ACTUARIA,3
CALC,LBN,ECONOMIA,3
CALC,LBN,NANOTECNOLOGIA E INGENIERIA MOLECULAR,1
CALC,LBNM,BANCA E INVERSIONES,1
CALC,LCS,INGENIERIA EN LOGISTICA Y CADENA DE SUMINISTROS,11
CALC,LCS,INGENIERIA EN LOGISTICA,3
CALC,LCS,ACTUARIA,1
CALC,LCS,ADMINISTRACION DE NEGOCIOS INTERNACIONALES,1
CALC,LCS,CIENCIA DE DATOS,1
CALC,LCU,NANOTECNOLOGIA E INGENIERIA MOLECULAR,1
CALC,LDS,CIENCIA DE DATOS,6
CALC,LDS,ACTUARIA,5
CALC,LDS,INGENIERIA EN ELECTRONICA Y SISTEMAS INTELIGENTES,1
CALC,LDS,NANOTECNOLOGIA E INGENIERIA MOLECULAR,1
CALC,LEC,ECONOMIA,33
CALC,LEC,ADMINISTRACION DE NEGOCIOS INTERNACIONALES,1
CALC,LEC,BANCA E INVERSIONES,1
CALC,LFA,FISICA,34
CALC,LFA,CIENCIA DE DATOS,1
CALC,LFB,QUIMICO FARMACEUTICO BIOLOGO,6
CALC,LFB,NANOTECNOLOGIA E INGENIERIA MOLECULAR,1
CALC,LFP,ESTRATEGIAS FINANCIERAS Y CONTADURIA PUBLICA,33
CALC,LFP,ACTUARIA,2
CALC,LFP,ADMINISTRACION DE NEGOCIOS INTERNACIONALES,1
CALC,LFP,CIENCIA DE DATOS,1
CALC,LFP,COMUNICACION Y PRODUCCION DE MEDIOS,1
CALC,LFP,INGENIERIA AMBIENTAL,1
CALC,LHR,ADMINISTRACION DE EMPRESAS,1
CALC,LHR,BANCA E INVERSIONES,1
CALC,LIC,INGENIERIA CIVIL,14
CALC,LIC,INGENIERIA EN ELECTRONICA Y SISTEMAS INTELIGENTES,1
CALC,LIC,INGENIERIA INDUSTRIAL,1
CALC,LII,INGENIERIA INDUSTRIAL,63
CALC,LII,ECONOMIA,2
CALC,LII,CIENCIA DE DATOS,1
CALC,LII,INGENIERIA EN INDUSTRIAS ALIMENTARIAS,1
