visits,n,classrooms_represented,careers_represented,mean_classroom_z,mean_classroom_z_ci95_low,mean_classroom_z_ci95_high,career_relative_index_student_weighted,career_relative_ci95_low,career_relative_ci95_high,career_balanced_index,career_balanced_careers,career_balanced_ci95_low,career_balanced_ci95_high,ci_method,stability_flag
1,500,150,29,0.23299732047775998,0.15913258264250152,0.30686205831301844,0.22022630394946915,0.14496792456589147,0.29548468333304684,0.21597314573259893,29,0.12055159868987647,0.3113946927753214,Student-t mean interval; descriptive and not cluster-adjusted,ok
2,239,114,28,0.22881749267997628,0.13416477923470166,0.3234702061252509,0.21666460304264,0.11897454397272296,0.3143546621125571,0.2507040985413514,26,0.132351883086188,0.3690563139965148,Student-t mean interval; descriptive and not cluster-adjusted,ok
3,168,84,28,0.3220633281810089,0.21160119433890479,0.43252546202311304,0.3044920953131071,0.19956252701418004,0.4094216636120342,0.284747569011152,27,0.15779690291555956,0.4116982351067444,Student-t mean interval; descriptive and not cluster-adjusted,ok
4,94,69,26,0.2608968121534099,0.11589102555657885,0.40590259875024093,0.24115277913997693,0.09084511093849892,0.3914604473414549,0.23371373021845326,19,0.006325559576765033,0.46110190086014147,Student-t mean interval; descriptive and not cluster-adjusted,ok
5,53,38,21,0.3426862548332264,0.14615520668490675,0.539217302981546,0.3544519178652662,0.1496780578424162,0.5592257778881162,0.3159001858833132,16,0.10700363255014103,0.5247967392164854,Student-t mean interval; descriptive and not cluster-adjusted,ok
6,48,36,21,0.3108539112407142,0.06616289051743751,0.5555449319639909,0.31088618232495974,0.05852354039149238,0.563248824258427,0.4287303339085036,13,0.16196844929455084,0.6954922185224564,Student-t mean interval; descriptive and not cluster-adjusted,ok
7,25,23,15,0.18394061883216392,-0.1639694450909194,0.5318506827552473,0.1654705401451105,-0.18938412668704394,0.5203252069772649,0.14185091377055714,8,-0.37035071561322497,0.6540525431543392,Student-t mean interval; descriptive and not cluster-adjusted,ok
8,19,17,11,0.32221498336039145,-0.04278073649603703,0.68721070321682,0.2835869048425921,-0.0852027868832087,0.6523765965683929,0.5248709430019914,5,-0.15799477459427258,1.2077366605982554,Student-t mean interval; descriptive and not cluster-adjusted,low_n
9,11,10,6,0.5067821299079823,0.21390646108451955,0.799657798731445,0.5458957014718829,0.23420391661147683,0.857587486332289,0.7162968662324176,3,0.3129332138021296,1.1196605186627058,Student-t mean interval; descriptive and not cluster-adjusted,low_n
10,13,12,10,0.4424496528694313,0.16675384378574765,0.7181454619531149,0.4532343912680949,0.19801683000433584,0.708451952531854,0.3616251649462517,3,-0.09939789744808691,0.8226482273405903,Student-t mean interval; descriptive and not cluster-adjusted,low_n
11,2,2,2,0.6693851412344515,-0.0020475153984352845,1.3408177978673383,0.6863668521060602,-0.4708206237400161,1.8435543279521365,,0,,,Student-t mean interval; descriptive and not cluster-adjusted,low_n
12,4,4,4,0.8148346458643887,0.30202123859144736,1.32764805313733,0.7624780847537069,0.20723816128126427,1.3177180082261497,,0,,,Student-t mean interval; descriptive and not cluster-adjusted,low_n
