course,k,n_at_risk,continuation_probability,ci95_low,ci95_high
Matemáticas Universitarias,0,6627,0.18620793722649767,0.17683548132995258,0.19558039312304276
Matemáticas Universitarias,1,1234,0.5810372771474879,0.5535084200612783,0.6085661342336974
Matemáticas Universitarias,2,717,0.6582984658298466,0.6235823299647559,0.6930146016949373
Matemáticas Universitarias,3,472,0.6398305084745762,0.5965222215317015,0.6831387954174509
Matemáticas Universitarias,4,302,0.6821192052980133,0.629600394502453,0.7346380160935736
Matemáticas Universitarias,5,206,0.7330097087378641,0.6725974520249948,0.7934219654507334
Matemáticas Universitarias,6,151,0.6688741721854304,0.593809370861759,0.7439389735091019
Matemáticas Universitarias,7,101,0.7524752475247525,0.6683065103753227,0.8366439846741822
Matemáticas Universitarias,8,76,0.75,0.6526468717557192,0.8473531282442808
Matemáticas Universitarias,9,57,0.8070175438596491,0.7045658728423081,0.9094692148769901
Matemáticas Universitarias,10,46,0.717391304347826,0.5872701312652251,0.847512477430427
Cálculo I,0,5046,0.22017439556084026,0.20874127982275162,0.2316075112989289
Cálculo I,1,1111,0.5544554455445545,0.5252288695890017,0.5836820215001073
Cálculo I,2,616,0.689935064935065,0.653409566446753,0.726460563423377
Cálculo I,3,425,0.7011764705882353,0.6576570936695266,0.744695847506944
Cálculo I,4,298,0.7449664429530202,0.6954767272929419,0.7944561586130985
Cálculo I,5,222,0.6531531531531531,0.5905413842832155,0.7157649220230908
Cálculo I,6,145,0.7103448275862069,0.6365123698347362,0.7841772853376775
Cálculo I,7,103,0.6990291262135923,0.6104467493025458,0.7876115031246387
Cálculo I,8,72,0.7083333333333334,0.6033423357768704,0.8133243308897964
Cálculo I,9,51,0.8431372549019608,0.7433258821929875,0.9429486276109341
Cálculo I,10,43,0.7906976744186046,0.6691031268247546,0.9122922220124546
