population,YEAR,SESSION,from_peak_order,to_peak_order,from_peak_date,to_peak_date,gap_days,monthly_like_24_38_days
All CMAT,2019,OTONO,1,2,2019-08-28,2019-09-25,28,1
All CMAT,2019,OTONO,2,3,2019-09-25,2019-10-31,36,1
All CMAT,2019,OTONO,3,4,2019-10-31,2019-11-28,28,1
All CMAT,2019,PRIMAVERA,1,2,2019-02-10,2019-03-10,28,1
All CMAT,2019,PRIMAVERA,2,3,2019-03-10,2019-04-09,30,1
All CMAT,2019,PRIMAVERA,3,4,2019-04-09,2019-05-09,30,1
All CMAT,2020,OTONO,1,2,2020-07-09,2020-08-09,31,1
All CMAT,2020,OTONO,2,3,2020-08-09,2020-09-18,40,0
All CMAT,2020,OTONO,3,4,2020-09-18,2020-11-02,45,0
All CMAT,2020,OTONO,4,5,2020-11-02,2020-12-03,31,1
All CMAT,2020,PRIMAVERA,1,2,2020-02-13,2020-03-13,29,1
All CMAT,2020,PRIMAVERA,2,3,2020-03-13,2020-04-02,20,0
All CMAT,2020,PRIMAVERA,3,4,2020-04-02,2020-05-03,31,1
All CMAT,2020,PRIMAVERA,4,5,2020-05-03,2020-06-02,30,1
All CMAT,2021,OTONO,1,2,2021-07-09,2021-08-11,33,1
All CMAT,2021,OTONO,2,3,2021-08-11,2021-09-11,31,1
All CMAT,2021,OTONO,3,4,2021-09-11,2021-10-15,34,1
All CMAT,2021,OTONO,4,5,2021-10-15,2021-11-17,33,1
All CMAT,2021,PRIMAVERA,1,2,2021-01-09,2021-02-15,37,1
All CMAT,2021,PRIMAVERA,2,3,2021-02-15,2021-03-19,32,1
All CMAT,2021,PRIMAVERA,3,4,2021-03-19,2021-04-11,23,0
All CMAT,2021,PRIMAVERA,4,5,2021-04-11,2021-06-09,59,0
All CMAT,2022,OTONO,1,2,2022-07-09,2022-08-31,53,0
All CMAT,2022,OTONO,2,3,2022-08-31,2022-09-26,26,1
All CMAT,2022,OTONO,3,4,2022-09-26,2022-11-15,50,0
All CMAT,2022,PRIMAVERA,1,2,2022-01-09,2022-02-11,33,1
All CMAT,2022,PRIMAVERA,2,3,2022-02-11,2022-03-10,27,1
All CMAT,2022,PRIMAVERA,3,4,2022-03-10,2022-04-10,31,1
All CMAT,2022,PRIMAVERA,4,5,2022-04-10,2022-05-10,30,1
All CMAT,2023,OTONO,1,2,2023-08-03,2023-08-31,28,1
All CMAT,2023,OTONO,2,3,2023-08-31,2023-09-28,28,1
All CMAT,2023,OTONO,3,4,2023-09-28,2023-11-15,48,0
All CMAT,2023,PRIMAVERA,1,2,2023-01-11,2023-02-10,30,1
All CMAT,2023,PRIMAVERA,2,3,2023-02-10,2023-03-10,28,1
All CMAT,2023,PRIMAVERA,3,4,2023-03-10,2023-04-09,30,1
All CMAT,2023,PRIMAVERA,4,5,2023-04-09,2023-05-09,30,1
All CMAT,2024,PRIMAVERA,1,2,2024-02-06,2024-02-29,23,0
All CMAT,2024,PRIMAVERA,2,3,2024-02-29,2024-04-16,47,0
First-MU cohort during MU term,2019,OTONO,1,2,2019-08-10,2019-09-10,31,1
First-MU cohort during MU term,2019,OTONO,2,3,2019-09-10,2019-10-10,30,1
First-MU cohort during MU term,2019,OTONO,3,4,2019-10-10,2019-11-09,30,1
First-MU cohort during MU term,2019,PRIMAVERA,1,2,2019-02-10,2019-03-09,27,1
First-MU cohort during MU term,2019,PRIMAVERA,2,3,2019-03-09,2019-04-09,31,1
First-MU cohort during MU term,2019,PRIMAVERA,3,4,2019-04-09,2019-05-09,30,1
First-MU cohort during MU term,2020,OTONO,1,2,2020-08-09,2020-09-18,40,0
First-MU cohort during MU term,2020,OTONO,2,3,2020-09-18,2020-10-26,38,1
First-MU cohort during MU term,2020,OTONO,3,4,2020-10-26,2020-11-30,35,1
First-MU cohort during MU term,2020,PRIMAVERA,1,2,2020-02-13,2020-05-03,80,0
First-MU cohort during MU term,2021,OTONO,1,2,2021-08-11,2021-09-11,31,1
First-MU cohort during MU term,2021,OTONO,2,3,2021-09-11,2021-10-25,44,0
First-MU cohort during MU term,2021,OTONO,3,4,2021-10-25,2021-11-18,24,1
First-MU cohort during MU term,2021,PRIMAVERA,1,2,2021-02-16,2021-04-11,54,0
First-MU cohort during MU term,2022,OTONO,1,2,2022-08-31,2022-11-16,77,0
First-MU cohort during MU term,2022,PRIMAVERA,1,2,2022-03-11,2022-04-11,31,1
First-MU cohort during MU term,2023,OTONO,1,2,2023-08-31,2023-09-26,26,1
First-MU cohort during MU term,2023,OTONO,2,3,2023-09-26,2023-11-13,48,0
First-MU cohort during MU term,2023,PRIMAVERA,1,2,2023-01-17,2023-02-13,27,1
First-MU cohort during MU term,2023,PRIMAVERA,2,3,2023-02-13,2023-03-15,30,1
First-MU cohort during MU term,2023,PRIMAVERA,3,4,2023-03-15,2023-04-25,41,0
First-MU cohort during MU term,2024,PRIMAVERA,1,2,2024-02-01,2024-02-22,21,0
First-MU cohort during MU term,2024,PRIMAVERA,2,3,2024-02-22,2024-04-10,48,0
