course_code,catalog_name,course_code_ambiguous
CON1012,Contabilidad,False
CON1013,Contabilidad,False
DIG0013,Cultura Digital,False
ESP0012,Argumentación Académica,False
ESP0013,Argumentación Académica,False
ESP0022,Escritura Académica,False
ESP0023,Escritura Académica,False
FIS1012,Física General,True
FIS1012,Física General I,True
FIS1022,Laboratorio de Física General,False
FIS2012,Física General II,False
INF0012,Tecnologías de la Información en la Construcción del Conocimiento,False
LAT1013,Herramientas y Programación Actuarial,False
LAT2012,Modelos Estocásticos I,False
LAT2013,Teoría de Matrices,False
LAT2022,Teoría de Matrices,False
LAT2023,Modelos Estocásticos I,False
LAT2032,Teoría del Interés I,False
LAT2042,Herramientas de Programación Actuarial,False
LAT2052,Teoría del Seguro,False
LAT2053,Modelos Estocásticos II,False
LAT2062,Modelos Estocásticos II,False
LAT2072,Teoría del Interés II,False
LAT3012,Métodos de Inferencia I,False
LAT3013,Métodos de Inferencia I,False
LAT3022,Modelos Estocásticos III,False
LAT3023,Modelos Estocásticos III,False
LAT3032,Matemáticas Actuariales del Seguro de Vida,False
LAT3033,Matemáticas Actuariales del Seguro de Daños,False
LAT3043,Prácticas en la Profesión 1,False
LAT3052,Portafolios de Inversión,False
LAT3053,Programación Matemática,False
LAT3062,Métodos de Inferencia II,False
LAT3063,Métodos de Inferencia II,False
LAT3072,Demografía,False
LAT3082,Análisis Matemático III,False
LAT4012,Productos Derivados,False
LAT4022,Teoría del Riesgo,False
LAT4032,Temas Selectos 1 (Actuaría),False
LAT4052,Optimización Avanzada,False
LAT4053,Optimización Avanzada,False
LAT4062,Administración Actuarial de Riesgos,False
LAT4072,Seguridad Social y Pensiones,False
LAT4082,Temas Selectos 2 (Actuaría),False
LAT4092,Temas Selectos 3 (Actuaría),False
LBC2012,Microbiología,False
LBC2013,Microbiología,False
LBC2023,Laboratorio de Microbiología,False
LBI2063,Zoología de Vertebrados,False
LBI2073,Laboratorio de Zoología de Vertebrados,False
LBI2083,Biología Celular,False
LBI3013,Biología Molecular,False
LBI3023,Recursos Bióticos de México,False
LBI3033,Laboratorio de Biología Celular y Molecular,False
LBI3043,Botánica,False
LBI3053,Laboratorio de Botánica,False
LBI3063,Bioanálisis y Modelación,False
LBI3073,Prácticas en la Profesión 1,False
LBI3083,Genética Evolutiva y Poblacional,False
LBI3093,Biología Evolutiva,False
LBI3103,Laboratorio de Genética y Biología Evolutiva,False
LBI3113,Fisiología Animal,False
LBI3123,Laboratorio de Fisiología Animal,False
LBI3133,Métodos en Ecología,False
LBI3143,Temas Selectos,False
LBI4013,Diseño y Método de Investigación Biológica,False
LBI4023,Biotecnología,False
LBI4033,Ciencias de Plantas,False
LBI4043,Laboratorio de Ciencias de Plantas,False
LBI4053,Ecología de Comunidades y Ecosistemas,False
LBI4063,Perspectivas Disciplinares,False
LBI4073,Prácticas en la Profesión 2,False
LBI4083,Procesos de Investigación Biológica y Análisis,False
LBI4093,Biología de la Conservación,False
LBI4103,Bioinformática,False
LBI4113,Biología del Desarrollo,False
LBI4123,Laboratorio de Biología del Desarrollo,False
LBI4133,Tópicos de Vanguardia,False
LCN1012,Dietética,False
LCN2012,Evaluación del Estado de Nutrición,False
LCN2022,Elaboración de Planes de Alimentación,False
LCN2032,Nutrición en el Ciclo de la Vida,False
LDS1011,Análisis Discreto,False
LDS1021,Minería de Datos,False
LDS1041,Análisis Topológico de Datos,False
LDS1051,Reconocimiento de Patrones,False
LDS1061,Temas Selectos 1 (Ciencia de Datos),False
LDS1071,Aprendizaje de Máquina,False
LDS1081,Redes Neuronales,False
LDS1101,Programación Concurrente,False
LDS1111,Temas Selectos 2 (Ciencia de Datos),False
LDS1121,Temas Selectos 3 (Ciencia de Datos),False
LDS1131,Visualización de Datos,False
LDS2013,Representación de Datos,False
LDS2023,Análisis Discreto I,False
LDS2033,Análisis Discreto II,False
LDS3013,Prácticas en la Profesión 1,False
LDS3023,Reconocimiento de Patrones,False
LDS3033,Temas Selectos,False
LDS3043,Inteligencia Computacional,False
LDS4013,Minería de Datos,False
LDS4023,Análisis Topológico de Datos,False
LDS4033,Programación Concurrente,False
LDS4043,Perspectivas Disciplinares,False
LDS4053,Prácticas en la Profesión 2,False
LDS4063,Visualización de Datos,False
LDS4073,Seguridad de Datos,False
LDS4083,Tópicos de Vanguardia,False
LDS4093,Aprendizaje Estadístico,False
LEC3043,Econometría,False
LEC3092,Econometría I,False
LEC3103,Econometría de Series de Tiempo,False
LEC4032,Econometría II,False
LEF1013,Fundamentos de Enfermería,False
LEF1023,Anatomía y Fisiología Humana,False
LEF1033,Prácticas de Principios Básicos de Enfermería,False
LEF1043,Bioquímica Humana,False
