student_id,career,period,year,partial_1,partial_2,partial_3,partial_4,total,exam_type,percentage
stu_7b02ec3eade3fc067dd38d894fdc2973,Ingeniería Industrial,P,2020,30.0,40.0,20.0,20.0,110.0,DMU,73.33333333333333
stu_0fcc943e895de81197791fbc1082c0fc,,P,2020,10.0,30.0,30.0,0.0,70.0,DMU,46.66666666666666
stu_463a0ede3c7d97db9d5cbc1fe90679f7,Ingeniería Química,P,2020,20.0,20.0,10.0,10.0,60.0,DMU,40.0
stu_d0e87c207220718e9ef895b3e82967db,Ingeniería Biomédica,P,2020,20.0,20.0,20.0,0.0,60.0,DMU,40.0
stu_e54113eea9178d3dabbba4dffcc326a5,Administración de Negocios Internacionales,P,2020,10.0,20.0,10.0,10.0,50.0,DMU,33.33333333333333
stu_c71b583c939e359caa2abdc4f13c7606,,P,2020,30.0,30.0,10.0,10.0,80.0,DMU,53.33333333333334
stu_8d02d4915ad425912060dc6de18f99cd,Bioquímica Clínica,P,2020,30.0,20.0,30.0,30.0,110.0,DMU,73.33333333333333
stu_c63294f0a26908a2b003794dcb5efc94,,P,2020,40.0,30.0,40.0,30.0,140.0,DMU,93.33333333333333
stu_b64889f73617dd8fa69aa29359bea98d,,P,2020,0.0,10.0,0.0,20.0,30.0,DMU,20.0
stu_8d788b02a5a06253c2a9987a4b3b504d,,P,2020,10.0,0.0,30.0,10.0,50.0,DMU,33.33333333333333
stu_6a2d2793646a07a2887d0841321f4313,,P,2020,30.0,20.0,20.0,10.0,80.0,DMU,53.33333333333334
stu_c1536db6b91fc040fccd5e21b3eef59e,,P,2020,10.0,20.0,10.0,0.0,40.0,DMU,26.66666666666667
stu_9a3cad7558251d7439596ee7b8b1b1cf,Mercadotecnia,P,2020,20.0,20.0,20.0,10.0,70.0,DMU,46.66666666666666
stu_9237eaa8998144fffffcc80d6ab57c3c,,P,2020,40.0,20.0,20.0,10.0,90.0,DMU,60.0
stu_bc840c93fad2ffbd14fff728eebccb1e,Estrategias Financieras y Contaduría Pública,P,2020,30.0,20.0,30.0,0.0,80.0,DMU,53.33333333333334
stu_03e4d5665afb1f3706b713f6abc3a99b,Estrategias Financieras y Contaduría Pública,P,2020,20.0,0.0,0.0,0.0,20.0,DMU,13.33333333333333
