attempt_id,student_id,career_code_id,term_id,attempt_number,course_code,subject_id,grade,instructor_id,subject_mapping_method
ATTEMPT_000001,stu_867c6d96117059d6ea89acf14fb225a5,CARCODE_LAR,2019_O,0,MAT1012,SUBJ_MATEMATICAS_UNIVERSITARIAS,BV,prof_aa016e54501900e8ce574c4115a35010,catalog_code_name_exact
ATTEMPT_000002,stu_807caa276fe659b9496ec63604a885de,CARCODE_LAD,2019_O,0,MAT1012,SUBJ_MATEMATICAS_UNIVERSITARIAS,7.6,prof_aa016e54501900e8ce574c4115a35010,catalog_code_name_exact
ATTEMPT_000003,stu_c60c9b381897c59b62d622d484888978,CARCODE_LII,2019_O,0,MAT1012,SUBJ_MATEMATICAS_UNIVERSITARIAS,7.5,prof_aa016e54501900e8ce574c4115a35010,catalog_code_name_exact
ATTEMPT_000004,stu_d81cf7e7a40306d8a1119abac590975b,CARCODE_LIM,2019_O,0,MAT1012,SUBJ_MATEMATICAS_UNIVERSITARIAS,6.9,prof_aa016e54501900e8ce574c4115a35010,catalog_code_name_exact
ATTEMPT_000005,stu_92db8bec8a146b1f3f6ca74bbd0ba495,CARCODE_LMK,2019_O,0,MAT1012,SUBJ_MATEMATICAS_UNIVERSITARIAS,RT,prof_aa016e54501900e8ce574c4115a35010,catalog_code_name_exact
ATTEMPT_000006,stu_32855f48fd87fb727ee201072cd98ec3,CARCODE_LIN,2019_O,0,MAT1012,SUBJ_MATEMATICAS_UNIVERSITARIAS,0,prof_aa016e54501900e8ce574c4115a35010,catalog_code_name_exact
ATTEMPT_000007,stu_6f84458e0f1f3cf167586a138919b9bf,CARCODE_BNI,2019_O,0,MAT1012,SUBJ_MATEMATICAS_UNIVERSITARIAS,5.4,prof_aa016e54501900e8ce574c4115a35010,catalog_code_name_exact
ATTEMPT_000008,stu_048584ca86984f4894369271d0e646a8,CARCODE_LIS,2019_O,0,MAT1012,SUBJ_MATEMATICAS_UNIVERSITARIAS,9.4,prof_aa016e54501900e8ce574c4115a35010,catalog_code_name_exact
ATTEMPT_000009,stu_af0c1420b905ad0d786d162d36ddc34b,CARCODE_BMK,2019_O,0,MAT1012,SUBJ_MATEMATICAS_UNIVERSITARIAS,8.5,prof_aa016e54501900e8ce574c4115a35010,catalog_code_name_exact
ATTEMPT_000010,stu_00e71fdf3d5cf0f8d8232f73eb4359f4,CARCODE_LEC,2019_O,0,MAT1012,SUBJ_MATEMATICAS_UNIVERSITARIAS,9.2,prof_aa016e54501900e8ce574c4115a35010,catalog_code_name_exact
ATTEMPT_000011,stu_7d5403930afa23ba22e56f5e463d606f,CARCODE_LIM,2019_O,0,MAT1012,SUBJ_MATEMATICAS_UNIVERSITARIAS,10,prof_aa016e54501900e8ce574c4115a35010,catalog_code_name_exact
ATTEMPT_000012,stu_a652e5fa828a4509188cc3bbfa265f31,CARCODE_LAD,2019_O,0,MAT1012,SUBJ_MATEMATICAS_UNIVERSITARIAS,9.3,prof_aa016e54501900e8ce574c4115a35010,catalog_code_name_exact
ATTEMPT_000013,stu_7b6b0c43d89b51802498033456e7e7e2,CARCODE_LFB,2019_O,0,MAT1012,SUBJ_MATEMATICAS_UNIVERSITARIAS,8.8,prof_aa016e54501900e8ce574c4115a35010,catalog_code_name_exact
ATTEMPT_000014,stu_da75fcab339fc60e7581a892606afe84,CARCODE_LFP,2019_O,0,MAT1012,SUBJ_MATEMATICAS_UNIVERSITARIAS,9.9,prof_aa016e54501900e8ce574c4115a35010,catalog_code_name_exact
ATTEMPT_000015,stu_2809aeaaff3a489db89ab734c3e630b2,CARCODE_LNM,2019_O,0,MAT1012,SUBJ_MATEMATICAS_UNIVERSITARIAS,8.9,prof_aa016e54501900e8ce574c4115a35010,catalog_code_name_exact
ATTEMPT_000016,stu_8e9027cbcb54af67601a35663db4c666,CARCODE_LRT,2019_O,0,MAT1012,SUBJ_MATEMATICAS_UNIVERSITARIAS,8.8,prof_aa016e54501900e8ce574c4115a35010,catalog_code_name_exact
ATTEMPT_000017,stu_7084017dde8293a782b2ba660d2f1bd8,CARCODE_LAD,2019_O,0,MAT1012,SUBJ_MATEMATICAS_UNIVERSITARIAS,7.5,prof_aa016e54501900e8ce574c4115a35010,catalog_code_name_exact
