course_code,subject_id,catalog_name,course_code_ambiguous
CON1012,SUBJ_CONTABILIDAD,Contabilidad,False
CON1013,SUBJ_CONTABILIDAD,Contabilidad,False
DIG0013,SUBJ_CULTURA_DIGITAL,Cultura Digital,False
ESP0012,SUBJ_ARGUMENTACION_ACADEMICA,Argumentación Académica,False
ESP0013,SUBJ_ARGUMENTACION_ACADEMICA,Argumentación Académica,False
ESP0022,SUBJ_ESCRITURA_ACADEMICA,Escritura Académica,False
ESP0023,SUBJ_ESCRITURA_ACADEMICA,Escritura Académica,False
FIS1012,SUBJ_FISICA_GENERAL,Física General,True
FIS1012,SUBJ_FISICA_GENERAL_I,Física General I,True
FIS1022,SUBJ_LABORATORIO_DE_FISICA_GENERAL,Laboratorio de Física General,False
FIS2012,SUBJ_FISICA_GENERAL_II,Física General II,False
INF0012,SUBJ_TECNOLOGIAS_DE_LA_INFORMACION_EN_LA_CONSTRUCCIO_EB65B5E9,Tecnologías de la Información en la Construcción del Conocimiento,False
LAT1013,SUBJ_HERRAMIENTAS_Y_PROGRAMACION_ACTUARIAL,Herramientas y Programación Actuarial,False
LAT2012,SUBJ_MODELOS_ESTOCASTICOS_I,Modelos Estocásticos I,False
LAT2013,SUBJ_TEORIA_DE_MATRICES,Teoría de Matrices,False
LAT2022,SUBJ_TEORIA_DE_MATRICES,Teoría de Matrices,False
LAT2023,SUBJ_MODELOS_ESTOCASTICOS_I,Modelos Estocásticos I,False
LAT2032,SUBJ_TEORIA_DEL_INTERES_I,Teoría del Interés I,False
LAT2042,SUBJ_HERRAMIENTAS_DE_PROGRAMACION_ACTUARIAL,Herramientas de Programación Actuarial,False
LAT2052,SUBJ_TEORIA_DEL_SEGURO,Teoría del Seguro,False
LAT2053,SUBJ_MODELOS_ESTOCASTICOS_II,Modelos Estocásticos II,False
LAT2062,SUBJ_MODELOS_ESTOCASTICOS_II,Modelos Estocásticos II,False
LAT2072,SUBJ_TEORIA_DEL_INTERES_II,Teoría del Interés II,False
LAT3012,SUBJ_METODOS_DE_INFERENCIA_I,Métodos de Inferencia I,False
LAT3013,SUBJ_METODOS_DE_INFERENCIA_I,Métodos de Inferencia I,False
LAT3022,SUBJ_MODELOS_ESTOCASTICOS_III,Modelos Estocásticos III,False
LAT3023,SUBJ_MODELOS_ESTOCASTICOS_III,Modelos Estocásticos III,False
LAT3032,SUBJ_MATEMATICAS_ACTUARIALES_DEL_SEGURO_DE_VIDA,Matemáticas Actuariales del Seguro de Vida,False
LAT3033,SUBJ_MATEMATICAS_ACTUARIALES_DEL_SEGURO_DE_DANOS,Matemáticas Actuariales del Seguro de Daños,False
LAT3043,SUBJ_PRACTICAS_EN_LA_PROFESION_1,Prácticas en la Profesión 1,False
LAT3052,SUBJ_PORTAFOLIOS_DE_INVERSION,Portafolios de Inversión,False
LAT3053,SUBJ_PROGRAMACION_MATEMATICA,Programación Matemática,False
LAT3062,SUBJ_METODOS_DE_INFERENCIA_II,Métodos de Inferencia II,False
LAT3063,SUBJ_METODOS_DE_INFERENCIA_II,Métodos de Inferencia II,False
LAT3072,SUBJ_DEMOGRAFIA,Demografía,False
LAT3082,SUBJ_ANALISIS_MATEMATICO_III,Análisis Matemático III,False
LAT4012,SUBJ_PRODUCTOS_DERIVADOS,Productos Derivados,False
LAT4022,SUBJ_TEORIA_DEL_RIESGO,Teoría del Riesgo,False
LAT4032,SUBJ_TEMAS_SELECTOS_1_ACTUARIA,Temas Selectos 1 (Actuaría),False
LAT4052,SUBJ_OPTIMIZACION_AVANZADA,Optimización Avanzada,False
LAT4053,SUBJ_OPTIMIZACION_AVANZADA,Optimización Avanzada,False
LAT4062,SUBJ_ADMINISTRACION_ACTUARIAL_DE_RIESGOS,Administración Actuarial de Riesgos,False
LAT4072,SUBJ_SEGURIDAD_SOCIAL_Y_PENSIONES,Seguridad Social y Pensiones,False
LAT4082,SUBJ_TEMAS_SELECTOS_2_ACTUARIA,Temas Selectos 2 (Actuaría),False
LAT4092,SUBJ_TEMAS_SELECTOS_3_ACTUARIA,Temas Selectos 3 (Actuaría),False
LBC2012,SUBJ_MICROBIOLOGIA,Microbiología,False
LBC2013,SUBJ_MICROBIOLOGIA,Microbiología,False
LBC2023,SUBJ_LABORATORIO_DE_MICROBIOLOGIA,Laboratorio de Microbiología,False
LBI2063,SUBJ_ZOOLOGIA_DE_VERTEBRADOS,Zoología de Vertebrados,False
LBI2073,SUBJ_LABORATORIO_DE_ZOOLOGIA_DE_VERTEBRADOS,Laboratorio de Zoología de Vertebrados,False
LBI2083,SUBJ_BIOLOGIA_CELULAR,Biología Celular,False
LBI3013,SUBJ_BIOLOGIA_MOLECULAR,Biología Molecular,False
LBI3023,SUBJ_RECURSOS_BIOTICOS_DE_MEXICO,Recursos Bióticos de México,False
LBI3033,SUBJ_LABORATORIO_DE_BIOLOGIA_CELULAR_Y_MOLECULAR,Laboratorio de Biología Celular y Molecular,False
LBI3043,SUBJ_BOTANICA,Botánica,False
LBI3053,SUBJ_LABORATORIO_DE_BOTANICA,Laboratorio de Botánica,False
LBI3063,SUBJ_BIOANALISIS_Y_MODELACION,Bioanálisis y Modelación,False
LBI3073,SUBJ_PRACTICAS_EN_LA_PROFESION_1,Prácticas en la Profesión 1,False
LBI3083,SUBJ_GENETICA_EVOLUTIVA_Y_POBLACIONAL,Genética Evolutiva y Poblacional,False
LBI3093,SUBJ_BIOLOGIA_EVOLUTIVA,Biología Evolutiva,False
LBI3103,SUBJ_LABORATORIO_DE_GENETICA_Y_BIOLOGIA_EVOLUTIVA,Laboratorio de Genética y Biología Evolutiva,False
LBI3113,SUBJ_FISIOLOGIA_ANIMAL,Fisiología Animal,False
LBI3123,SUBJ_LABORATORIO_DE_FISIOLOGIA_ANIMAL,Laboratorio de Fisiología Animal,False
LBI3133,SUBJ_METODOS_EN_ECOLOGIA,Métodos en Ecología,False
LBI3143,SUBJ_TEMAS_SELECTOS,Temas Selectos,False
LBI4013,SUBJ_DISENO_Y_METODO_DE_INVESTIGACION_BIOLOGICA,Diseño y Método de Investigación Biológica,False
LBI4023,SUBJ_BIOTECNOLOGIA,Biotecnología,False
LBI4033,SUBJ_CIENCIAS_DE_PLANTAS,Ciencias de Plantas,False
LBI4043,SUBJ_LABORATORIO_DE_CIENCIAS_DE_PLANTAS,Laboratorio de Ciencias de Plantas,False
LBI4053,SUBJ_ECOLOGIA_DE_COMUNIDADES_Y_ECOSISTEMAS,Ecología de Comunidades y Ecosistemas,False
LBI4063,SUBJ_PERSPECTIVAS_DISCIPLINARES,Perspectivas Disciplinares,False
LBI4073,SUBJ_PRACTICAS_EN_LA_PROFESION_2,Prácticas en la Profesión 2,False
LBI4083,SUBJ_PROCESOS_DE_INVESTIGACION_BIOLOGICA_Y_ANALISIS,Procesos de Investigación Biológica y Análisis,False
LBI4093,SUBJ_BIOLOGIA_DE_LA_CONSERVACION,Biología de la Conservación,False
LBI4103,SUBJ_BIOINFORMATICA,Bioinformática,False
LBI4113,SUBJ_BIOLOGIA_DEL_DESARROLLO,Biología del Desarrollo,False
LBI4123,SUBJ_LABORATORIO_DE_BIOLOGIA_DEL_DESARROLLO,Laboratorio de Biología del Desarrollo,False
LBI4133,SUBJ_TOPICOS_DE_VANGUARDIA,Tópicos de Vanguardia,False
