diagnostic_id,student_id,career_label_id,term_id,partial_1,partial_2,partial_3,partial_4,total,exam_type,percentage
DIAG_00001,stu_7b02ec3eade3fc067dd38d894fdc2973,CARLBL_DAB7ED3371,2020_P,30.0,40.0,20.0,20.0,110.0,DMU,73.33333333333333
DIAG_00002,stu_0fcc943e895de81197791fbc1082c0fc,,2020_P,10.0,30.0,30.0,0.0,70.0,DMU,46.66666666666666
DIAG_00003,stu_463a0ede3c7d97db9d5cbc1fe90679f7,CARLBL_9393C45E8D,2020_P,20.0,20.0,10.0,10.0,60.0,DMU,40.0
DIAG_00004,stu_d0e87c207220718e9ef895b3e82967db,CARLBL_D174EB3A71,2020_P,20.0,20.0,20.0,0.0,60.0,DMU,40.0
DIAG_00005,stu_e54113eea9178d3dabbba4dffcc326a5,CARLBL_563A8FB47A,2020_P,10.0,20.0,10.0,10.0,50.0,DMU,33.33333333333333
DIAG_00006,stu_c71b583c939e359caa2abdc4f13c7606,,2020_P,30.0,30.0,10.0,10.0,80.0,DMU,53.33333333333334
DIAG_00007,stu_8d02d4915ad425912060dc6de18f99cd,CARLBL_B2CB496E63,2020_P,30.0,20.0,30.0,30.0,110.0,DMU,73.33333333333333
DIAG_00008,stu_c63294f0a26908a2b003794dcb5efc94,,2020_P,40.0,30.0,40.0,30.0,140.0,DMU,93.33333333333333
DIAG_00009,stu_b64889f73617dd8fa69aa29359bea98d,,2020_P,0.0,10.0,0.0,20.0,30.0,DMU,20.0
DIAG_00010,stu_8d788b02a5a06253c2a9987a4b3b504d,,2020_P,10.0,0.0,30.0,10.0,50.0,DMU,33.33333333333333
DIAG_00011,stu_6a2d2793646a07a2887d0841321f4313,,2020_P,30.0,20.0,20.0,10.0,80.0,DMU,53.33333333333334
DIAG_00012,stu_c1536db6b91fc040fccd5e21b3eef59e,,2020_P,10.0,20.0,10.0,0.0,40.0,DMU,26.66666666666667
DIAG_00013,stu_9a3cad7558251d7439596ee7b8b1b1cf,CARLBL_BD76F0F196,2020_P,20.0,20.0,20.0,10.0,70.0,DMU,46.66666666666666
