observation_id,student_id,term_id,source,career_code_id,career_label_id
SC_000001,stu_0001f15f36df32897c0e49787e77a3c8,2024_P,academic,CARCODE_LRI,
SC_000002,stu_0001f15f36df32897c0e49787e77a3c8,2024_P,advisory,,CARLBL_9B4F1F4102
SC_000003,stu_00070d27c8c8ecee839c3eeedc5a79d1,2025_P,academic,CARCODE_LIS,
SC_000004,stu_00114b88f1c2e6bc7250a1209f3484a3,2019_O,academic,CARCODE_LFP,
SC_000005,stu_00114b88f1c2e6bc7250a1209f3484a3,2021_O,academic,CARCODE_LFP,
SC_000006,stu_00114b88f1c2e6bc7250a1209f3484a3,2021_P,academic,CARCODE_LFP,
SC_000007,stu_00114b88f1c2e6bc7250a1209f3484a3,2022_P,academic,CARCODE_LFP,
SC_000008,stu_002252f783c87e2314954455240a009f,2021_O,academic,CARCODE_LNM,
SC_000009,stu_002252f783c87e2314954455240a009f,2022_O,academic,CARCODE_LNM,
SC_000010,stu_002252f783c87e2314954455240a009f,2022_P,academic,CARCODE_LNM,
SC_000011,stu_002252f783c87e2314954455240a009f,2022_P,advisory,,CARLBL_F7A3F2E0E2
SC_000012,stu_002252f783c87e2314954455240a009f,2022_P,diagnostic,,CARLBL_F7A3F2E0E2
SC_000013,stu_002252f783c87e2314954455240a009f,2023_P,academic,CARCODE_LNM,
SC_000014,stu_00242d53ecc04d93c2d8e2f2e28365ed,2023_P,academic,CARCODE_LAR,
SC_000015,stu_00242d53ecc04d93c2d8e2f2e28365ed,2024_P,academic,CARCODE_LAR,
SC_000016,stu_0027a855c38476cfa073293e40f07748,2019_O,academic,CARCODE_LAT,
SC_000017,stu_0027a855c38476cfa073293e40f07748,2019_O,advisory,,CARLBL_F041EA11A4
SC_000018,stu_0027a855c38476cfa073293e40f07748,2019_P,academic,CARCODE_LAT,
SC_000019,stu_0027a855c38476cfa073293e40f07748,2020_O,advisory,,CARLBL_F041EA11A4
SC_000020,stu_0027a855c38476cfa073293e40f07748,2020_P,advisory,,CARLBL_F041EA11A4
SC_000021,stu_002effb05afa77fb6b8246f3d2050e0e,2023_P,academic,CARCODE_LPA,
SC_000022,stu_002effb05afa77fb6b8246f3d2050e0e,2023_P,advisory,,CARLBL_6DD559E116
SC_000023,stu_003267568c113eaea78a1af5eda53721,2024_P,advisory,,CARLBL_8DBD054572
SC_000024,stu_003e5d3f33f6c03392fa2ff0533ae2c1,2019_O,academic,CARCODE_LMK,
SC_000025,stu_003e5d3f33f6c03392fa2ff0533ae2c1,2020_O,academic,CARCODE_LMK,
SC_000026,stu_003e5d3f33f6c03392fa2ff0533ae2c1,2020_O,advisory,,CARLBL_BD76F0F196
SC_000027,stu_003e5d3f33f6c03392fa2ff0533ae2c1,2020_P,academic,CARCODE_LMK,
SC_000028,stu_003e5d3f33f6c03392fa2ff0533ae2c1,2021_O,academic,CARCODE_LMK,
SC_000029,stu_003f85e193f09df7871a575d4d9e62f2,2019_O,academic,CARCODE_LEF,
SC_000030,stu_0040d7723176360d8c43e8daa760cd00,2019_O,academic,CARCODE_LCN,
SC_000031,stu_0040d7723176360d8c43e8daa760cd00,2019_O,advisory,,CARLBL_A5E0BF95DC
SC_000032,stu_0040d7723176360d8c43e8daa760cd00,2019_P,advisory,,CARLBL_A5E0BF95DC
SC_000033,stu_004cb17da4d6307f8a32143d59849393,2019_O,academic,CARCODE_LAD,
SC_000034,stu_004cb17da4d6307f8a32143d59849393,2020_P,academic,CARCODE_LAD,
SC_000035,stu_004d27b300b9c4f7f4d4de094bf2b1b2,2019_O,academic,CARCODE_LMT,
SC_000036,stu_004d27b300b9c4f7f4d4de094bf2b1b2,2020_O,academic,CARCODE_LMT,
SC_000037,stu_004d27b300b9c4f7f4d4de094bf2b1b2,2020_P,academic,CARCODE_LMT,
SC_000038,stu_004d27b300b9c4f7f4d4de094bf2b1b2,2020_P,diagnostic,,
SC_000039,stu_004d27b300b9c4f7f4d4de094bf2b1b2,2021_P,academic,CARCODE_LMT,
SC_000040,stu_0055478134548a893f6cca6a3592bfee,2024_O,academic,CARCODE_LDS,
SC_000041,stu_0055478134548a893f6cca6a3592bfee,2025_P,academic,CARCODE_LDS,
SC_000042,stu_005b760d8a392732b0cf2dc61764912d,2024_O,academic,CARCODE_LBN,
SC_000043,stu_005b760d8a392732b0cf2dc61764912d,2025_P,academic,CARCODE_LBN,
SC_000044,stu_005cd89e6c2acb10ac9ac23d368bcbb5,2022_O,academic,CARCODE_LFP,
