subject_label_id,subject_label,subject_id
SUBLBL_0F263FA216,Álgebra Lineal,SUBJ_ALGEBRA_LINEAL
SUBLBL_EB8CAAC7B2,Álgebra Superior,SUBJ_ALGEBRA_SUPERIOR
SUBLBL_0974D8136E,Análisis Matemático,SUBJ_ANALISIS_MATEMATICO
SUBLBL_1CF9A26ACB,Cálculo I,SUBJ_CALCULO_I
SUBLBL_21F2372E79,Cálculo II,SUBJ_CALCULO_II
SUBLBL_8402A8658C,Cálculo III,SUBJ_CALCULO_III
SUBLBL_762017F679,Econometría,SUBJ_ECONOMETRIA
SUBLBL_1E6215CE2F,Ecuaciones Diferenciales Ordinarias,SUBJ_ECUACIONES_DIFERENCIALES_ORDINARIAS
SUBLBL_1A5C5E38DA,Estadística Descriptiva,SUBJ_ESTADISTICA_DESCRIPTIVA
SUBLBL_FF24353823,Estadística Inferencial,SUBJ_ESTADISTICA_INFERENCIAL
SUBLBL_DA81169E87,Estadística para Ciencias de la Salud,SUBJ_ESTADISTICA_PARA_CIENCIAS_DE_LA_SALUD
SUBLBL_3D42632608,Estadística Para Ciencias Sociales,SUBJ_ESTADISTICA_PARA_CIENCIAS_SOCIALES
SUBLBL_E07388DB4D,Estadística Para Negocios,SUBJ_ESTADISTICA_PARA_NEGOCIOS
SUBLBL_2FB61E06AD,Estadística para Negocios,SUBJ_ESTADISTICA_PARA_NEGOCIOS
SUBLBL_3B7782FF05,Extras,SUBJ_EXTRAS
SUBLBL_783067A8AC,Física,SUBJ_FISICA
SUBLBL_B929F4E60B,Geomatría Analítica,SUBJ_GEOMATRIA_ANALITICA
SUBLBL_19E2B4FED1,Geometría Analítica,SUBJ_GEOMETRIA_ANALITICA
SUBLBL_E4ACC55E30,Matemáticas I,SUBJ_MATEMATICAS_I
SUBLBL_280CD50B92,Matemáticas II,SUBJ_MATEMATICAS_II
SUBLBL_9B7084716B,Matemáticas para Pensar,SUBJ_MATEMATICAS_PARA_PENSAR
SUBLBL_07DD730417,Matemáticas Universitarias,SUBJ_MATEMATICAS_UNIVERSITARIAS
SUBLBL_4E4063E154,Métodos de Inferencia,SUBJ_METODOS_DE_INFERENCIA
SUBLBL_8C44EAF457,Modelos Estocásticos,SUBJ_MODELOS_ESTOCASTICOS
SUBLBL_D8EAAAD9CE,Precálculo,SUBJ_PRECALCULO
SUBLBL_896CB1CD61,Probabilidad y Estadística,SUBJ_PROBABILIDAD_Y_ESTADISTICA
SUBLBL_96655B3CFF,Programación / Optimización,SUBJ_PROGRAMACION_OPTIMIZACION
SUBLBL_D63666BF26,Teoría de Matrices,SUBJ_TEORIA_DE_MATRICES
