subject_id,subject_name,source_status
SUBJ_ADMINISTRACION_ACTUARIAL_DE_RIESGOS,Administración Actuarial de Riesgos,catalog_and_or_advisory
SUBJ_ADMINISTRACION_DE_LA_TECNOLOGIA,Administración de la Tecnología,catalog_and_or_advisory
SUBJ_ADMINISTRACION_DE_RECURSOS_HUMANOS,Administración de Recursos Humanos,catalog_and_or_advisory
SUBJ_ADMINISTRACION_EN_ENFERMERIA,Administración en Enfermería,catalog_and_or_advisory
SUBJ_ALGEBRA_LINEAL,Álgebra Lineal,catalog_and_or_advisory
SUBJ_ALGEBRA_SUPERIOR,Álgebra Superior,catalog_and_or_advisory
SUBJ_ALGORITMOS_Y_PROGRAMACION,Algoritmos y Programación,catalog_and_or_advisory
SUBJ_ANALISIS_DISCRETO,Análisis Discreto,catalog_and_or_advisory
SUBJ_ANALISIS_DISCRETO_I,Análisis Discreto I,catalog_and_or_advisory
SUBJ_ANALISIS_DISCRETO_II,Análisis Discreto II,catalog_and_or_advisory
SUBJ_ANALISIS_ESTRUCTURAL_I,Análisis Estructural I,catalog_and_or_advisory
SUBJ_ANALISIS_MATEMATICO,Análisis Matemático,catalog_and_or_advisory
SUBJ_ANALISIS_MATEMATICO_I,Análisis Matemático I,catalog_and_or_advisory
SUBJ_ANALISIS_MATEMATICO_II,Análisis Matemático II,catalog_and_or_advisory
SUBJ_ANALISIS_MATEMATICO_III,Análisis Matemático III,catalog_and_or_advisory
SUBJ_ANALISIS_NUMERICO,Análisis Numérico,catalog_and_or_advisory
SUBJ_ANALISIS_TOPOLOGICO_DE_DATOS,Análisis Topológico de Datos,catalog_and_or_advisory
SUBJ_ANALISIS_Y_DISENO_DE_SISTEMAS_DE_PRODUCCION,Análisis y Diseño de Sistemas de Producción,catalog_and_or_advisory
SUBJ_ANATOMIA_DENTAL,Anatomía Dental,catalog_and_or_advisory
SUBJ_ANATOMIA_Y_FISIOLOGIA,Anatomía y Fisiología,catalog_and_or_advisory
SUBJ_ANATOMIA_Y_FISIOLOGIA_HUMANA,Anatomía y Fisiología Humana,catalog_and_or_advisory
SUBJ_ANATOMOFISIOLOGIA,Anatomofisiología,catalog_and_or_advisory
SUBJ_APRENDIZAJE_DE_MAQUINA,Aprendizaje de Máquina,catalog_and_or_advisory
SUBJ_APRENDIZAJE_ESTADISTICO,Aprendizaje Estadístico,catalog_and_or_advisory
SUBJ_ARGUMENTACION_ACADEMICA,Argumentación Académica,catalog_and_or_advisory
SUBJ_BASES_DE_DATOS,Bases de Datos,catalog_and_or_advisory
SUBJ_BIOANALISIS_Y_MODELACION,Bioanálisis y Modelación,catalog_and_or_advisory
SUBJ_BIOESTADISTICA,Bioestadística,catalog_and_or_advisory
SUBJ_BIOINFORMATICA,Bioinformática,catalog_and_or_advisory
SUBJ_BIOLOGIA_CELULAR,Biología Celular,catalog_and_or_advisory
SUBJ_BIOLOGIA_CELULAR_Y_MOLECULAR,Biología Celular y Molecular,catalog_and_or_advisory
