population,YEAR,SESSION,VISIT_DATE,visits,unique_students
All CMAT,2019,OTONO,2019-10-10,86,77
All CMAT,2019,PRIMAVERA,2019-02-10,71,69
All CMAT,2020,OTONO,2020-11-02,71,66
All CMAT,2019,OTONO,2019-10-09,66,65
All CMAT,2019,OTONO,2019-08-10,70,64
All CMAT,2019,PRIMAVERA,2019-04-09,62,60
All CMAT,2019,PRIMAVERA,2019-06-09,63,59
All CMAT,2019,OTONO,2019-07-11,63,57
All CMAT,2023,PRIMAVERA,2023-04-09,60,57
All CMAT,2019,OTONO,2019-07-10,59,54
All CMAT,2019,OTONO,2019-11-28,59,53
All CMAT,2019,PRIMAVERA,2019-05-09,57,53
All CMAT,2019,OTONO,2019-08-28,56,53
All CMAT,2019,OTONO,2019-09-10,58,52
All CMAT,2022,OTONO,2022-09-26,53,52
All CMAT,2019,PRIMAVERA,2019-04-10,59,51
All CMAT,2020,PRIMAVERA,2020-04-02,51,51
All CMAT,2019,PRIMAVERA,2019-04-11,50,50
All CMAT,2023,OTONO,2023-11-15,50,50
All CMAT,2019,OTONO,2019-08-29,59,49
All CMAT,2020,PRIMAVERA,2020-03-03,52,49
All CMAT,2019,OTONO,2019-10-31,54,48
All CMAT,2020,PRIMAVERA,2020-02-13,54,48
All CMAT,2020,OTONO,2020-12-03,53,48
All CMAT,2019,OTONO,2019-10-28,48,48
All CMAT,2022,PRIMAVERA,2022-03-10,53,47
All CMAT,2023,PRIMAVERA,2023-04-10,49,47
All CMAT,2023,PRIMAVERA,2023-03-10,53,46
All CMAT,2020,PRIMAVERA,2020-05-03,50,46
All CMAT,2020,OTONO,2020-12-02,48,46
First-MU cohort during MU term,2019,OTONO,2019-10-10,39,36
First-MU cohort during MU term,2019,OTONO,2019-08-10,37,34
First-MU cohort during MU term,2019,OTONO,2019-07-11,38,33
First-MU cohort during MU term,2019,OTONO,2019-09-10,34,28
First-MU cohort during MU term,2019,OTONO,2019-07-10,31,28
First-MU cohort during MU term,2019,OTONO,2019-11-09,31,28
First-MU cohort during MU term,2022,OTONO,2022-08-31,27,27
First-MU cohort during MU term,2022,OTONO,2022-11-16,27,27
First-MU cohort during MU term,2022,OTONO,2022-11-15,26,26
First-MU cohort during MU term,2022,OTONO,2022-11-23,28,25
First-MU cohort during MU term,2022,OTONO,2022-10-26,25,25
First-MU cohort during MU term,2023,OTONO,2023-11-13,25,25
First-MU cohort during MU term,2022,OTONO,2022-07-09,25,24
First-MU cohort during MU term,2022,OTONO,2022-10-13,25,24
First-MU cohort during MU term,2019,OTONO,2019-11-28,26,23
First-MU cohort during MU term,2022,OTONO,2022-09-26,24,23
First-MU cohort during MU term,2023,OTONO,2023-11-14,24,23
First-MU cohort during MU term,2023,OTONO,2023-08-31,27,22
First-MU cohort during MU term,2019,OTONO,2019-09-27,24,22
First-MU cohort during MU term,2019,OTONO,2019-10-09,22,22
First-MU cohort during MU term,2022,OTONO,2022-10-20,22,22
First-MU cohort during MU term,2019,OTONO,2019-10-31,27,21
First-MU cohort during MU term,2019,OTONO,2019-09-26,25,21
First-MU cohort during MU term,2022,OTONO,2022-10-27,23,21
First-MU cohort during MU term,2022,OTONO,2022-11-17,22,21
First-MU cohort during MU term,2022,OTONO,2022-10-19,21,21
First-MU cohort during MU term,2023,OTONO,2023-10-30,21,21
First-MU cohort during MU term,2019,OTONO,2019-10-24,24,20
First-MU cohort during MU term,2019,OTONO,2019-12-09,24,20
First-MU cohort during MU term,2022,OTONO,2022-10-31,21,20
