population,YEAR,SESSION,peak_order,peak_date,rolling_peak_center_date,daily_visits,daily_unique_students,rolling_unique_student_days_7d,rolling_visits_7d,prominence,detection_prominence_threshold
All CMAT,2019,OTONO,1,2019-08-28,2019-08-27,56,53,188.0,206.0,188.0,24.24
All CMAT,2019,OTONO,2,2019-09-25,2019-09-27,44,42,187.0,202.0,187.0,24.24
All CMAT,2019,OTONO,3,2019-10-31,2019-10-28,54,48,202.0,211.0,202.0,24.24
All CMAT,2019,OTONO,4,2019-11-28,2019-11-27,59,53,176.0,185.0,97.0,24.24
All CMAT,2019,PRIMAVERA,1,2019-02-10,2019-02-09,71,69,111.0,117.0,111.0,19.32
All CMAT,2019,PRIMAVERA,2,2019-03-10,2019-03-09,40,35,63.0,68.0,63.0,19.32
All CMAT,2019,PRIMAVERA,3,2019-04-09,2019-04-10,62,60,161.0,171.0,161.0,19.32
All CMAT,2019,PRIMAVERA,4,2019-05-09,2019-05-10,57,53,97.0,105.0,97.0,19.32
All CMAT,2020,OTONO,1,2020-07-09,2020-07-10,16,15,35.0,37.0,20.0,18.96
All CMAT,2020,OTONO,2,2020-08-09,2020-08-10,26,25,56.0,58.0,56.0,18.96
All CMAT,2020,OTONO,3,2020-09-18,2020-09-20,38,38,158.0,164.0,143.0,18.96
All CMAT,2020,OTONO,4,2020-11-02,2020-10-31,71,66,134.0,144.0,102.0,18.96
All CMAT,2020,OTONO,5,2020-12-03,2020-11-30,53,48,118.0,127.0,97.0,18.96
All CMAT,2020,PRIMAVERA,1,2020-02-13,2020-02-16,54,48,131.0,139.0,131.0,15.719999999999999
All CMAT,2020,PRIMAVERA,2,2020-03-13,2020-03-11,26,26,57.0,57.0,41.0,15.719999999999999
All CMAT,2020,PRIMAVERA,3,2020-04-02,2020-04-02,51,51,61.0,61.0,61.0,15.719999999999999
All CMAT,2020,PRIMAVERA,4,2020-05-03,2020-05-02,50,46,73.0,77.0,73.0,15.719999999999999
All CMAT,2020,PRIMAVERA,5,2020-06-02,2020-06-02,41,41,53.0,53.0,41.0,15.719999999999999
All CMAT,2021,OTONO,1,2021-07-09,2021-07-07,23,17,40.0,47.0,24.0,9.48
All CMAT,2021,OTONO,2,2021-08-11,2021-08-10,23,22,47.0,53.0,28.0,9.48
All CMAT,2021,OTONO,3,2021-09-11,2021-09-12,28,23,75.0,86.0,55.0,9.48
All CMAT,2021,OTONO,4,2021-10-15,2021-10-18,35,31,79.0,84.0,64.0,9.48
All CMAT,2021,OTONO,5,2021-11-17,2021-11-20,20,19,68.0,73.0,50.0,9.48
All CMAT,2021,PRIMAVERA,1,2021-01-09,2021-01-10,25,24,48.0,49.0,42.0,8.76
All CMAT,2021,PRIMAVERA,2,2021-02-15,2021-02-14,23,23,73.0,79.0,73.0,8.76
All CMAT,2021,PRIMAVERA,3,2021-03-19,2021-03-19,26,23,56.0,69.0,38.0,8.76
All CMAT,2021,PRIMAVERA,4,2021-04-11,2021-04-13,18,18,68.0,73.0,62.0,8.76
