CLASSROOM_ID,n_adverse_imputed,n_numeric_below_pass_pool,n_unique_numeric_below_pass_pool,method,kde_library,kde_bw_method,kde_factor,support_low,support_high_exclusive,seed
22473|2019|OTONO,7,4,4,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.757858283255199,0.0,7.5,42
23434|2019|OTONO,23,7,6,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.677610913400481,0.0,7.5,42
23824|2019|OTONO,1,1,1,within_classroom_empirical_degenerate_kde,scipy.stats.gaussian_kde,,,0.0,7.5,42
23837|2021|OTONO,7,12,9,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.6083643418932057,0.0,7.5,42
23839|2019|OTONO,26,6,5,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.6988271187715792,0.0,7.5,42
20792|2019|OTONO,9,2,2,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.8705505632961241,0.0,7.5,42
23434|2019|PRIMAVERA,15,15,13,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.581810759152688,0.0,7.5,42
23152|2019|PRIMAVERA,14,1,1,within_classroom_empirical_degenerate_kde,scipy.stats.gaussian_kde,,,0.0,7.5,42
23442|2020|OTONO,4,4,4,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.757858283255199,0.0,7.5,42
23096|2021|OTONO,3,0,0,uniform_fallback_no_observed_subpass_grade,,,,0.0,7.5,42
23468|2019|OTONO,18,7,7,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.677610913400481,0.0,7.5,42
23425|2019|OTONO,9,5,3,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.7247796636776955,0.0,7.5,42
