population,YEAR,SESSION,VISIT_DATE,visits,unique_students
All CMAT,2019,OTONO,2019-07-10,59,54
All CMAT,2019,OTONO,2019-07-11,63,57
All CMAT,2019,OTONO,2019-08-10,70,64
All CMAT,2019,OTONO,2019-08-11,24,23
All CMAT,2019,OTONO,2019-08-19,8,8
All CMAT,2019,OTONO,2019-08-20,9,9
All CMAT,2019,OTONO,2019-08-21,28,28
All CMAT,2019,OTONO,2019-08-22,30,28
All CMAT,2019,OTONO,2019-08-23,18,18
All CMAT,2019,OTONO,2019-08-26,46,44
All CMAT,2019,OTONO,2019-08-27,26,24
All CMAT,2019,OTONO,2019-08-28,56,53
All CMAT,2019,OTONO,2019-08-29,59,49
All CMAT,2019,OTONO,2019-08-30,19,18
All CMAT,2019,OTONO,2019-09-09,41,39
All CMAT,2019,OTONO,2019-09-10,58,52
All CMAT,2019,OTONO,2019-09-13,41,32
All CMAT,2019,OTONO,2019-09-17,26,25
All CMAT,2019,OTONO,2019-09-18,43,40
All CMAT,2019,OTONO,2019-09-19,25,20
All CMAT,2019,OTONO,2019-09-20,20,18
All CMAT,2019,OTONO,2019-09-23,28,28
All CMAT,2019,OTONO,2019-09-24,26,26
All CMAT,2019,OTONO,2019-09-25,44,42
All CMAT,2019,OTONO,2019-09-26,48,41
All CMAT,2019,OTONO,2019-09-27,42,39
All CMAT,2019,OTONO,2019-09-30,42,39
All CMAT,2019,OTONO,2019-10-09,66,65
All CMAT,2019,OTONO,2019-10-10,86,77
All CMAT,2019,OTONO,2019-10-14,37,34
All CMAT,2019,OTONO,2019-10-15,25,24
All CMAT,2019,OTONO,2019-10-16,38,37
All CMAT,2019,OTONO,2019-10-17,40,35
All CMAT,2019,OTONO,2019-10-18,15,15
All CMAT,2019,OTONO,2019-10-21,21,20
All CMAT,2019,OTONO,2019-10-22,23,23
All CMAT,2019,OTONO,2019-10-23,41,40
All CMAT,2019,OTONO,2019-10-24,46,40
All CMAT,2019,OTONO,2019-10-25,37,35
All CMAT,2019,OTONO,2019-10-28,48,48
All CMAT,2019,OTONO,2019-10-29,26,25
All CMAT,2019,OTONO,2019-10-30,46,46
All CMAT,2019,OTONO,2019-10-31,54,48
All CMAT,2019,OTONO,2019-11-09,46,42
All CMAT,2019,OTONO,2019-11-10,29,27
All CMAT,2019,OTONO,2019-11-11,30,30
All CMAT,2019,OTONO,2019-11-13,44,41
All CMAT,2019,OTONO,2019-11-14,29,26
All CMAT,2019,OTONO,2019-11-15,12,12
All CMAT,2019,OTONO,2019-11-19,33,33
All CMAT,2019,OTONO,2019-11-20,21,21
All CMAT,2019,OTONO,2019-11-21,38,34
All CMAT,2019,OTONO,2019-11-22,18,16
All CMAT,2019,OTONO,2019-11-25,40,38
All CMAT,2019,OTONO,2019-11-26,30,29
All CMAT,2019,OTONO,2019-11-27,25,25
All CMAT,2019,OTONO,2019-11-28,59,53
All CMAT,2019,OTONO,2019-11-29,31,31
All CMAT,2019,OTONO,2019-12-09,47,38
All CMAT,2019,OTONO,2019-12-11,41,40
All CMAT,2019,PRIMAVERA,2019-01-10,32,32
All CMAT,2019,PRIMAVERA,2019-01-11,39,39
All CMAT,2019,PRIMAVERA,2019-02-09,46,42
All CMAT,2019,PRIMAVERA,2019-02-10,71,69
All CMAT,2019,PRIMAVERA,2019-03-09,28,28
All CMAT,2019,PRIMAVERA,2019-03-10,40,35
All CMAT,2019,PRIMAVERA,2019-04-09,62,60
All CMAT,2019,PRIMAVERA,2019-04-10,59,51
All CMAT,2019,PRIMAVERA,2019-04-11,50,50
All CMAT,2019,PRIMAVERA,2019-05-09,57,53
All CMAT,2019,PRIMAVERA,2019-05-11,48,44
All CMAT,2019,PRIMAVERA,2019-06-09,63,59
All CMAT,2019,PRIMAVERA,2019-06-11,48,45
All CMAT,2020,OTONO,2020-07-02,42,41
All CMAT,2020,OTONO,2020-07-09,16,15
All CMAT,2020,OTONO,2020-07-10,11,10
All CMAT,2020,OTONO,2020-07-12,10,10
All CMAT,2020,OTONO,2020-08-09,26,25
All CMAT,2020,OTONO,2020-08-10,16,15
All CMAT,2020,OTONO,2020-08-12,16,16
