population,model,group1,group2,adjusted_mean_difference_group1_minus_group2,cluster_robust_se,ci95_low,ci95_high,p_raw,p_holm_10_pairwise,reject_holm_0_05,n,n_classrooms
MU students with later Calculus and CMAT coverage,classroom_FE_plus_official_career,0,1,-0.12036424816905825,0.03394792604432228,-0.18690096056575922,-0.053827535772357285,0.00039178681259343745,0.003526081313340937,True,4211,181
MU students with later Calculus and CMAT coverage,classroom_FE_plus_official_career,0,2,-0.15098163056461644,0.0407700927276729,-0.2308895439572137,-0.07107371717201919,0.00021285936799500735,0.0021285936799500735,True,4211,181
MU students with later Calculus and CMAT coverage,classroom_FE_plus_official_career,0,3,-0.06932021256482117,0.06714336392860305,-0.20091878766574894,0.06227836253610662,0.3018749828426971,1.0,False,4211,181
MU students with later Calculus and CMAT coverage,classroom_FE_plus_official_career,0,4+,-0.13815519904543228,0.04654771491368293,-0.22938704383888878,-0.046923354251975774,0.0029971120633593856,0.023976896506875085,True,4211,181
MU students with later Calculus and CMAT coverage,classroom_FE_plus_official_career,1,2,-0.030617382395558196,0.0534844878248771,-0.1354450522638883,0.07421028747277193,0.5670147779893093,1.0,False,4211,181
MU students with later Calculus and CMAT coverage,classroom_FE_plus_official_career,1,3,0.05104403560423708,0.0726930080342452,-0.0914316420707643,0.19351971327923845,0.48256297745161003,1.0,False,4211,181
MU students with later Calculus and CMAT coverage,classroom_FE_plus_official_career,1,4+,-0.01779095087637403,0.0625164259754842,-0.14032089423048738,0.10473899247773931,0.7759656124053895,1.0,False,4211,181
MU students with later Calculus and CMAT coverage,classroom_FE_plus_official_career,2,3,0.08166141799979527,0.06918138879874107,-0.05393161244619994,0.2172544484457905,0.23784284757872498,1.0,False,4211,181
MU students with later Calculus and CMAT coverage,classroom_FE_plus_official_career,2,4+,0.012826431519184167,0.05828254694478515,-0.10140526141985969,0.127058124458228,0.8258140808577186,1.0,False,4211,181
MU students with later Calculus and CMAT coverage,classroom_FE_plus_official_career,3,4+,-0.06883498648061111,0.08043372055080054,-0.2264821819027394,0.08881220894151716,0.3921097328374581,1.0,False,4211,181
