course,visits,n,proportion,tail_proportion_ge_k
Matemáticas Universitarias,0,5393,0.8137920627735024,1.0
Matemáticas Universitarias,1,517,0.07801418439716312,0.18620793722649767
Matemáticas Universitarias,2,245,0.03696997132940999,0.10819375282933454
Matemáticas Universitarias,3,170,0.025652633167345708,0.07122378149992455
Matemáticas Universitarias,4,96,0.014486192847442281,0.045571148332578845
Matemáticas Universitarias,5,55,0.008299381318847141,0.031084955485136564
Matemáticas Universitarias,6,50,0.007544892108042855,0.022785574166289423
Matemáticas Universitarias,7,25,0.0037724460540214276,0.015240682058246567
Matemáticas Universitarias,8,19,0.0028670590010562848,0.011468236004225139
Matemáticas Universitarias,9,11,0.0016598762637694282,0.008601177003168854
Matemáticas Universitarias,10,13,0.0019616719480911424,0.006941300739399426
Matemáticas Universitarias,11,2,0.0003017956843217142,0.004979628791308284
Matemáticas Universitarias,12,4,0.0006035913686434284,0.00467783310698657
Matemáticas Universitarias,13,2,0.0003017956843217142,0.004074241738343142
Matemáticas Universitarias,14,6,0.0009053870529651426,0.0037724460540214276
Matemáticas Universitarias,15,5,0.0007544892108042855,0.0028670590010562848
Matemáticas Universitarias,>15,14,0.0021125697902519996,
