professor_propensity_quartile,n,calc_any_visit_rate,mean_professor_leaveout_rate,mu_visit_group
Q1,469,0.17270788912579957,0.1467049133255309,0
Q2,500,0.142,0.20080008805196523,0
Q3,458,0.14410480349344978,0.25193568967732277,0
Q4,433,0.21247113163972287,0.40001434270179376,0
Q1,94,0.39361702127659576,0.14994788808524487,1-2
Q2,87,0.3333333333333333,0.1982124356908178,1-2
Q3,89,0.3146067415730337,0.2500958916943373,1-2
Q4,81,0.5555555555555556,0.39930312861513645,1-2
Q1,19,0.5789473684210527,0.1495566672508753,3
Q2,23,0.4782608695652174,0.2060159382979057,3
Q3,19,0.42105263157894735,0.24891652253891164,3
Q4,18,0.7222222222222222,0.39516282001323133,3
Q1,42,0.5476190476190477,0.14607372899712706,4+
Q2,42,0.6428571428571429,0.20013862408979585,4+
Q3,41,0.6829268292682927,0.25028039383116507,4+
Q4,32,0.84375,0.38328119623158163,4+
