model,term,n,student_clusters,estimate,se_cluster,p_value,r2,joint_df
higher_outcome_percentile,C(_ATTEMPT_BAND)[T.2],502,435,-0.04001861057732173,0.0561071382602806,0.4756889297738166,0.43077102840690806,
higher_outcome_percentile,C(_ATTEMPT_BAND)[T.3+],502,435,0.032489646883216566,0.06858835271271975,0.6357206725530642,0.43077102840690806,
higher_outcome_percentile,_PREV_RANK_10PP,502,435,-0.1066070902710433,0.005713489094712756,1.0702543895073524e-77,0.43077102840690806,
higher_outcome_percentile,PREV_ANY_CMAT,502,435,-8.582412217616846e-05,0.04832992695945382,0.9985831200180365,0.43077102840690806,
higher_outcome_percentile,attempt_band_joint,502,435,1.0058445066859725,,0.6047608106977429,0.43077102840690806,2.0
next_cmat_use,C(_ATTEMPT_BAND)[T.2],1007,820,-0.027554764680574783,0.024340815824882903,0.25761783333717203,0.064023001736221,
next_cmat_use,C(_ATTEMPT_BAND)[T.3+],1007,820,-0.0564763661367219,0.036133102158288195,0.118050463199347,0.064023001736221,
next_cmat_use,PREV_ANY_CMAT,1007,820,0.11257519871664408,0.03147994392407458,0.0003487679771692425,0.064023001736221,
next_cmat_use,attempt_band_joint,1007,820,3.4320822364785886,,0.1797764547010121,0.064023001736221,2.0
increased_cmat,C(_ATTEMPT_BAND)[T.2],1007,820,-0.020617842733075705,0.023410526296973547,0.37847577143621824,0.03322750379897377,
increased_cmat,C(_ATTEMPT_BAND)[T.3+],1007,820,-0.03619173092895533,0.03490036563008529,0.29973516583776894,0.03322750379897377,
increased_cmat,PREV_ANY_CMAT,1007,820,-0.015424163502147238,0.02050888907966216,0.45200769457118206,0.03322750379897377,
increased_cmat,attempt_band_joint,1007,820,1.712877712705139,,0.42467170968358825,0.03322750379897377,2.0
higher_prior_pass_rate,C(_ATTEMPT_BAND)[T.2],584,506,-0.035752274912856916,0.05371724487705626,0.50568969779503,0.36791345125155517,
higher_prior_pass_rate,C(_ATTEMPT_BAND)[T.3+],584,506,-0.04023991078095433,0.0602486776694163,0.5041993455708488,0.36791345125155517,
higher_prior_pass_rate,_PREV_PASS_10PP,584,506,-0.18248114856942782,0.008740014151024827,8.34335004219709e-97,0.36791345125155517,
higher_prior_pass_rate,PREV_ANY_CMAT,584,506,-0.05396683118822562,0.04530021731630426,0.23352992324604172,0.36791345125155517,
higher_prior_pass_rate,attempt_band_joint,584,506,0.7458075377887321,,0.688731507049493,0.36791345125155517,2.0
higher_prior_mean_grade,C(_ATTEMPT_BAND)[T.2],502,435,-0.06371492201139559,0.05970948448784091,0.285934764723772,0.35517990694294677,
higher_prior_mean_grade,C(_ATTEMPT_BAND)[T.3+],502,435,0.07210884892682562,0.07331049002996937,0.32530785772245807,0.35517990694294677,
higher_prior_mean_grade,_PREV_MEAN_GRADE,502,435,-0.40012213252951856,0.02109167911912676,2.9839295394709523e-80,0.35517990694294677,
higher_prior_mean_grade,PREV_ANY_CMAT,502,435,-0.032390617773105784,0.04744741449194446,0.4948195024218339,0.35517990694294677,
higher_prior_mean_grade,attempt_band_joint,502,435,2.798019148179745,,0.24684132095283562,0.35517990694294677,2.0
