level,metric,value
student,n_student_choices,4151.0
student,chosen_instructor_rankable_share,0.7766803179956637
student,share_with_rankable_instructors_ge_2,1.0
student,share_with_rankable_instructors_ge_3,0.9785593832811371
student,share_with_rankable_instructors_ge_4,0.9785593832811371
student,share_with_rankable_instructors_ge_5,0.9785593832811371
student,mean_history_coverage,0.7792824241607144
period,n_periods,10.0
period,observed_instructors_min,5.0
period,observed_instructors_p25,11.0
period,observed_instructors_median,13.5
period,observed_instructors_p75,17.5
period,observed_instructors_max,25.0
period,rankable_instructors_min,2.0
period,rankable_instructors_p25,8.0
period,rankable_instructors_median,11.5
period,rankable_instructors_p75,13.75
period,rankable_instructors_max,18.0
period,mean_history_coverage,0.7536864717408196
