population,outcome_definition,group,n,mean_z,sd_z,se_z,ci95_low,ci95_high
First eligible MU attempt with CMAT coverage,primary_adverse_outcome_rule,0,5393,-0.06082003786685221,1.016716381449011,0.013844733835647816,-0.08795571618472192,-0.03368435954898249
First eligible MU attempt with CMAT coverage,primary_adverse_outcome_rule,1,517,0.21892631231273862,0.8491592279104305,0.03734598014213145,0.14572819123416098,0.2921244333913163
First eligible MU attempt with CMAT coverage,primary_adverse_outcome_rule,2,245,0.2466360152760336,0.737776139189532,0.04713478855443257,0.15425182970934576,0.33902020084272144
First eligible MU attempt with CMAT coverage,primary_adverse_outcome_rule,3,170,0.2777937780423757,0.7969659526256655,0.061124498296727746,0.15798976138078932,0.39759779470396206
First eligible MU attempt with CMAT coverage,primary_adverse_outcome_rule,4+,302,0.354856936226544,0.6825255164683951,0.03927493010226641,0.27787807322610186,0.4318357992269862
First eligible MU attempt with CMAT coverage,uniform_adverse_imputation,0,5393,-0.05900949673794968,1.018482541741084,0.01386878382599025,-0.08619231303689057,-0.0318266804390088
First eligible MU attempt with CMAT coverage,uniform_adverse_imputation,1,517,0.21918746046903875,0.8164869965164134,0.03590905704839951,0.14880570865417572,0.28956921228390176
First eligible MU attempt with CMAT coverage,uniform_adverse_imputation,2,245,0.22616428223383325,0.7450277199523047,0.04759807505528656,0.13287205512547162,0.3194565093421949
First eligible MU attempt with CMAT coverage,uniform_adverse_imputation,3,170,0.30062378190392924,0.7426413514157297,0.056957991580616124,0.18898611840592164,0.4122614454019369
First eligible MU attempt with CMAT coverage,uniform_adverse_imputation,4+,302,0.3258344595175909,0.7462694499284929,0.04294298128963149,0.24166621618991316,0.41000270284526863
First eligible MU attempt with CMAT coverage,numeric_complete_case,0,4467,-0.05642066993198265,1.0429895807603635,0.015605295387793554,-0.08700704889205801,-0.025834290971907283
First eligible MU attempt with CMAT coverage,numeric_complete_case,1,433,0.25601143426707335,0.654883074721256,0.03147167213195775,0.19432695688843615,0.31769591164571054
First eligible MU attempt with CMAT coverage,numeric_complete_case,2,209,0.1929816334580194,0.6372538178948753,0.044079768299176286,0.1065852875916339,0.27937797932440495
First eligible MU attempt with CMAT coverage,numeric_complete_case,3,144,0.3259885127634474,0.5173041380676793,0.043108678172306604,0.24149550354572646,0.4104815219811684
First eligible MU attempt with CMAT coverage,numeric_complete_case,4+,269,0.20038168891398053,0.5803676731776035,0.03538564155856822,0.13102583145918684,0.26973754636877423
