minimum_classroom_n,analysis_n,analysis_classrooms,population,model,group1,group2,adjusted_mean_difference_group1_minus_group2,cluster_robust_se,ci95_low,ci95_high,p_raw,p_holm_10_pairwise,reject_holm_0_05,n,n_classrooms
1,6627,190,First eligible MU attempt with CMAT coverage; classrooms n>=1,classroom_FE_plus_official_career,0,1,-0.30472721430645006,0.04269913801049939,-0.3884159869779341,-0.221038441634966,9.565882018724972e-13,7.652705614979978e-12,True,6627,190
1,6627,190,First eligible MU attempt with CMAT coverage; classrooms n>=1,classroom_FE_plus_official_career,0,2,-0.3594779515045687,0.04978003748447219,-0.45704503212318803,-0.26191087088594933,5.148251459865802e-13,4.633426313879222e-12,True,6627,190
1,6627,190,First eligible MU attempt with CMAT coverage; classrooms n>=1,classroom_FE_plus_official_career,0,3,-0.37318865422739605,0.06388739827412203,-0.4984056539106416,-0.24797165454415046,5.177948728359908e-09,3.6245641098519355e-08,True,6627,190
1,6627,190,First eligible MU attempt with CMAT coverage; classrooms n>=1,classroom_FE_plus_official_career,0,4+,-0.4607218868216481,0.05658660366118588,-0.5716295920050148,-0.34981418163828143,3.8915562366515875e-16,3.891556236651587e-15,True,6627,190
10,6627,190,First eligible MU attempt with CMAT coverage; classrooms n>=10,classroom_FE_plus_official_career,0,1,-0.30472721430645006,0.04269913801049939,-0.3884159869779341,-0.221038441634966,9.565882018724972e-13,7.652705614979978e-12,True,6627,190
10,6627,190,First eligible MU attempt with CMAT coverage; classrooms n>=10,classroom_FE_plus_official_career,0,2,-0.3594779515045687,0.04978003748447219,-0.45704503212318803,-0.26191087088594933,5.148251459865802e-13,4.633426313879222e-12,True,6627,190
10,6627,190,First eligible MU attempt with CMAT coverage; classrooms n>=10,classroom_FE_plus_official_career,0,3,-0.37318865422739605,0.06388739827412203,-0.4984056539106416,-0.24797165454415046,5.177948728359908e-09,3.6245641098519355e-08,True,6627,190
10,6627,190,First eligible MU attempt with CMAT coverage; classrooms n>=10,classroom_FE_plus_official_career,0,4+,-0.4607218868216481,0.05658660366118588,-0.5716295920050148,-0.34981418163828143,3.8915562366515875e-16,3.891556236651587e-15,True,6627,190
20,6255,165,First eligible MU attempt with CMAT coverage; classrooms n>=20,classroom_FE_plus_official_career,0,1,-0.3120615773145063,0.043559291372561176,-0.3974362195968125,-0.22668693503220008,7.831946782890141e-13,6.265557426312113e-12,True,6255,165
20,6255,165,First eligible MU attempt with CMAT coverage; classrooms n>=20,classroom_FE_plus_official_career,0,2,-0.36747044546888435,0.05077334116031811,-0.466984365517873,-0.26795652541989573,4.571376578586086e-13,4.1142389207274775e-12,True,6255,165
20,6255,165,First eligible MU attempt with CMAT coverage; classrooms n>=20,classroom_FE_plus_official_career,0,3,-0.38442649750901003,0.06433091509496276,-0.5105127741876412,-0.2583402208303789,2.2901147585240755e-09,1.603080330966853e-08,True,6255,165
20,6255,165,First eligible MU attempt with CMAT coverage; classrooms n>=20,classroom_FE_plus_official_career,0,4+,-0.45724383202899044,0.056932484158604905,-0.5688294505302532,-0.34565821352772763,9.641796668525918e-16,9.641796668525918e-15,True,6255,165
